,Country,index,gdppc,Nrrent,TIME,pop,life_exp,muslim,female_uni,female_over_male,IQ,SelfEfficacy,SelfConcept,math_anxiety,equality_index,f_STEM,loggdppc,hy_f_STEM
129,Georgia,503,3268.01097,1.0,2000.0,4743.590999999999,0.15227303534389877,9.9,53.15635,0.6472788592579238,94.0,,,,-0.20345584200000003,42.34673,8.091936812767406,39.29382421319447
130,Georgia,504,3449.9623,1.0,2001.0,4685.769,0.15456139643247455,9.9,55.44092,0.5792287712095145,94.0,,,,-0.20345584200000003,41.88355,8.146118582429468,36.677952033883564
131,Georgia,505,3663.36146,1.0,2002.0,4629.853,0.15731125804642176,9.9,52.72311,0.5762234394998826,94.0,,,,-0.20345584200000003,39.13906,8.206136436589073,36.557218035198844
132,Georgia,506,4121.431979999999,1.0,2003.0,4575.9929999999995,0.16035164389456016,9.9,53.916540000000005,0.5634111334034257,94.0,,,,-0.20345584200000003,39.72916,8.323955949916986,36.03729827463382
133,Georgia,507,4420.39236,1.0,2004.0,4524.444,0.1633730022959727,9.9,53.396319999999996,0.532429711522109,94.0,,,,-0.20345584200000003,37.88948,8.393983740362758,34.74415221258437
134,Georgia,509,5438.9872700000005,1.0,2006.0,4429.186,0.1666699027767179,9.9,51.066720000000004,0.5970410373286954,94.0,,,,-0.20345584200000003,38.3884,8.601348158916453,37.38420136825922
135,Georgia,510,6191.20885,1.0,2007.0,4385.885,0.16675015418780928,9.9,48.01916,0.5737994781288128,94.0,,,,-0.20345584200000003,34.64343,8.730885637403476,36.45950364725235
136,Georgia,513,6733.78377,1.0,2010.0,4250.1320000000005,0.16078135926131232,9.9,60.388000000000005,0.4470502815518007,94.0,,,,-0.20345584200000003,40.53006,8.814892489018366,30.89390101029447
137,Georgia,515,7881.328990000001,1.0,2012.0,4138.92,0.15138296947029659,9.9,59.04725,0.5044928846475808,94.0,,,,-0.20345584200000003,42.10944,8.972251822184813,33.53242077750041
138,Germany,536,35755.29931,0.1,1999.0,81965.83,0.10925502736933183,3.7,49.40953,0.2702114712469109,99.0,0.53,0.52,0.36,-0.011564467499999998,20.88006,10.484453769584363,21.27295158038969
139,Germany,537,36764.56293,0.1,2000.0,81895.925,0.11008374348296328,3.7,50.33648,0.27297030565834196,99.0,0.53,0.52,0.36,-0.011564467499999998,21.67118,10.512289696350763,21.44357212772296
140,Germany,538,37325.05255,0.1,2001.0,81809.438,0.1113276196812402,3.7,51.63734,0.270574924214751,99.0,0.53,0.52,0.36,-0.011564467499999998,22.41421,10.52742003030995,21.295471763066114
141,Germany,539,37262.35129,0.1,2002.0,81699.829,0.11302306397728201,3.7,52.20366,0.275457797297123,99.0,0.53,0.52,0.36,-0.011564467499999998,23.12765,10.525738747102817,21.596778653190828
142,Belgium,588,37253.473739999994,0.0,2000.0,10268.38,0.12061649452007037,3.5,55.875409999999995,0.26862154464673116,99.0,0.4,0.4,0.4,-0.0015605520000000002,25.38194,10.52550047422485,21.174285253174798
143,Belgium,589,37426.85395,0.0,2001.0,10311.331,0.12068907496035186,3.5,56.11094,0.25132630534629874,99.0,0.4,0.4,0.4,-0.0015605520000000002,24.31775,10.530143745803027,20.084793572428367
144,Belgium,590,37922.87089,0.0,2002.0,10364.613000000001,0.12076109354010613,3.5,56.70766,0.2575347950542916,99.0,0.4,0.4,0.4,-0.0015605520000000002,25.22465,10.543309662627639,20.47933751552163
145,Belgium,594,40600.23743,0.0,2006.0,10632.032,0.12103170870817546,3.5,58.779090000000004,0.2566408799804961,99.0,0.4,0.4,0.4,-0.0015605520000000002,26.791320000000002,10.611529193602282,20.422770265477865
146,Belgium,596,41653.520410000005,0.0,2008.0,10779.155,0.12161101681903637,3.5,58.66959,0.25010994356810956,99.0,0.4,0.4,0.4,-0.0015605520000000002,26.20129,10.637141167672526,20.007035769528926
147,Belgium,597,40375.55093,0.0,2009.0,10854.388,0.12143890562968634,3.5,58.69105,0.2601847322990193,99.0,0.4,0.4,0.4,-0.0015605520000000002,27.07275,10.605979705756939,20.64655487647045
148,Belgium,598,41086.551589999995,0.0,2010.0,10929.978000000001,0.12089383894459807,3.5,58.85309,0.22224336355769492,99.0,0.4,0.4,0.4,-0.0015605520000000002,24.12045,10.623436135016682,18.18323340376265
149,Belgium,599,41248.72534,0.0,2011.0,11005.175,0.12047568530259628,3.5,59.0191,0.23002062797087622,99.0,0.4,0.4,0.4,-0.0015605520000000002,24.883589999999998,10.6273754904369,18.700550441201422
150,Belgium,600,41006.48535,0.0,2012.0,11079.521,0.11983171474651294,3.5,59.305009999999996,0.22126331276034059,99.0,0.4,0.4,0.4,-0.0015605520000000002,24.38268,10.621485512445716,18.117576320231365
151,Belgium,601,40778.96007,0.0,2013.0,11153.122,0.11888178036607149,3.5,59.09032,0.227979442457973,99.0,0.4,0.4,0.4,-0.0015605520000000002,24.772170000000003,10.615921542822418,18.565411974783565
152,Belgium,602,41274.46739,0.0,2014.0,11226.322,0.11760859879130495,3.5,59.80809,0.24023703626358583,99.0,0.4,0.4,0.4,-0.0015605520000000002,26.334540000000004,10.627999364768064,19.370251753434054
153,Ghana,620,3954.52372,18.5,2015.0,27409.892999999996,0.1945701867570224,16.0,40.40935,0.38806152453478276,73.0,,,,-0.29882326000000003,20.8329,8.282615448171347,27.95708386664229
154,Burundi,660,695.37573,17.2,2004.0,7661.613,0.2180000477706196,10.0,25.4766,0.3217686938809472,69.0,,,,-0.16624127400000005,9.90991,6.544452318188183,24.343797471566475
155,Burundi,666,707.7875799999999,17.2,2010.0,9461.117,0.21302019624109922,10.0,28.391959999999997,1.7283580547845048,69.0,,,,-0.16624127400000005,40.66265,6.562144020427652,63.3479191542921
156,El Salvador,692,6616.535989999999,0.9,2002.0,5874.3009999999995,0.18729496496689563,0.0,55.178169999999994,0.3986083911337257,80.0,,,,-0.048971214000000006,32.91782,8.797327247630035,28.500357473946643
157,El Salvador,693,6738.174940000001,0.9,2003.0,5900.929,0.18717086750238818,0.0,58.06296999999999,0.3846419553204737,80.0,,,,-0.048971214000000006,34.749179999999996,8.815544386823287,27.779163692280928
158,El Salvador,695,7052.073840000001,0.9,2005.0,5947.206,0.1887509865977402,0.0,58.16502,0.3756553371772285,80.0,,,,-0.048971214000000006,34.30948,8.861077014251372,27.307373222427447
159,El Salvador,696,7302.95827,0.9,2006.0,5967.556,0.19029431814297176,0.0,58.587630000000004,0.3404947907176084,80.0,,,,-0.048971214000000006,32.51043,8.896034787513685,25.400679888903635
160,El Salvador,697,7559.48608,0.9,2007.0,5986.414000000001,0.19213422259135432,0.0,58.220240000000004,0.37719960945812603,80.0,,,,-0.048971214000000006,34.45327,8.930558488026934,27.388884433864984
161,El Salvador,698,7633.133890000001,0.9,2008.0,6004.1990000000005,0.19420109160272667,0.0,58.21151,0.3736024070767325,80.0,,,,-0.048971214000000006,34.2291,8.940253772585283,27.198729789053306
162,El Salvador,699,7372.901470000001,0.9,2009.0,6021.368,0.19634209369033748,0.0,58.14572,0.32660984873713766,80.0,,,,-0.048971214000000006,31.211920000000003,8.905566594276323,24.61988722969703
163,El Salvador,700,7452.5617,0.9,2010.0,6038.306,0.19846178713036405,0.0,58.739540000000005,0.3187521842770205,80.0,,,,-0.048971214000000006,31.214000000000002,8.916313104618927,24.170741711549848
164,El Salvador,701,7596.5091299999995,0.9,2011.0,6055.2080000000005,0.2002320977248015,0.0,58.731019999999994,0.2944999473490233,80.0,,,,-0.048971214000000006,29.53335,8.93544409575238,22.750093420407083
