Building Name,City,Height (m),Height (ft),Floors,Started,Completed,Construction Years,Frame,HPY,Broad
Paul Hastings Tower,Los Angeles,"213,1",699,52,-,1971,-,Steel,#VALUE!,No
One Penn Plaza,New York City,"228,6",750,57,-,1972,-,Steel,#VALUE!,No
One Liberty Plaza,New York City,"226,5",743,54,-,1972,-,Steel,#VALUE!,No
55 Water Street,New York City,"209,4",687,53,-,1972,-,Steel,#VALUE!,No
McGraw-Hill Building,New York City,"205,4",674,51,-,1972,-,Steel,#VALUE!,No
Aon Center,Los Angeles,"261,5",858,62,-,1974,-,Steel,#VALUE!,No
Bank of America Plaza,Los Angeles,224,735,55,-,1975,-,Steel,#VALUE!,No
BOK Tower,Tulsa,"203,3",667,52,-,1975,-,Steel,#VALUE!,No
NTT DoCoMo Yoyogi Building,Tokyo,240,787,33,-,2000,-,Steel,#VALUE!,No
Cheung Kong Centre,Hong Kong,"282,8",928,63,-,1999,-,Steel,#VALUE!,No
One International Finance Centre,Hong Kong,210,689,38,-,1999,-,Steel,#VALUE!,No
Centerpoint Energy Plaza,Houston,"225,9",741,53,-,1996,-,Steel,#VALUE!,No
Jewelry Trade Center,Bangkok,"220,7",724,59,-,1996,-,Steel,#VALUE!,No
Xinjinqiao Mansion,Shanghai,212,696,38,-,1996,-,Steel,#VALUE!,No
ACT Tower,Hamamatsu,"212,8",698,45,-,1994,-,Steel,#VALUE!,No
ORC 200,Osaka,200,656,51,-,1994,-,Steel,#VALUE!,No
Landmark Tower,Yokohama,"296,3",972,73,-,1993,-,Steel,#VALUE!,No
United Overseas Bank Plaza One,Singapore,280,919,66,-,1992,-,Steel,#VALUE!,No
Two California Plaza,Los Angeles,"228,6",750,52,-,1992,-,Steel,#VALUE!,No
Americas Tower,New York City,"210,9",692,48,-,1992,-,Steel,#VALUE!,No
Three Logan,Philadelphia,"225,3",739,55,-,1991,-,Steel,#VALUE!,No
Melbourne Central,Melbourne,211,692,53,-,1991,-,Steel,#VALUE!,No
Two Liberty Place,Philadelphia,"258,5",848,58,-,1990,-,Steel,#VALUE!,No
One Court Square,New York City,"205,1",673,50,-,1990,-,Steel,#VALUE!,No
One Shell Plaza,Houston,"217,6",714,50,-,1970,-,Concrete,#VALUE!,No
Telstra Corporate Building,Melbourne,218,715,47,-,1992,-,Concrete,#VALUE!,No
Metro Plaza Tower II,Hong Kong,"208,9",685,47,-,1992,-,Concrete,#VALUE!,No
Jinlitong Financial Center Tower 1,Shenzhen,225,738,46,-,2018,-,Concrete,#VALUE!,No
