Building Name,City,Height (m),Height (ft),Floors,Started,Completed,Construction Years,Frame,HPY,Broad
Discovery Primea,Makati,"238,8",783,67,2010,2014,4,Concrete,"59,7",No
Louvre International Furniture Headquarters Building,Foshan,236,774,43,2010,2014,4,Concrete,59,No
One Shangri-La Place North Tower,Mandaluyong,"222,3",729,65,2010,2014,4,Concrete,"55,575",No
One Shangri-la Place South Tower,Mandaluyong,"222,3",729,65,2010,2014,4,Concrete,"55,575",No
Xindi Center Office Tower 1,Hefei,211,692,50,2010,2014,4,Concrete,"52,75",No
Jushang Plaza,Liuzhou,"210,7",691,42,2010,2014,4,Concrete,"52,675",No
The Knightsbridge Residences,Makati,"209,4",687,62,2010,2014,4,Concrete,"52,35",No
ÏCE Condominiums at York Centre 1,Toronto,"202,3",664,57,2010,2014,4,Concrete,"50,575",No
Maslak Spine Tower,Istanbul,202,663,47,2010,2014,4,Concrete,"50,5",No
Nanhu Mingdu Plaza,Nanning,218,715,47,2009,2013,4,Concrete,"54,5",No
AVIC Center Office Tower,Shenzhen,"216,4",710,41,2009,2013,4,Concrete,"54,1",No
Peace Hotel Tower B,Nanchang,210,689,64,2009,2013,4,Concrete,"52,5",No
Lot G Office Towers,Kuala Lumpur,200,656,45,2009,2013,4,Concrete,50,No
The Pinnacle,Guangzhou,"350,3","1,149",60,2008,2012,4,Concrete,"87,575",No
Keangnam Hanoi Landmark Tower,Hanoi,"328,6","1,078",72,2008,2012,4,Concrete,"82,15",No
Nation Towers Residential Lofts,Abu Dhabi,268,879,64,2008,2012,4,Concrete,67,No
Bank of Guangzhou Tower,Guangzhou,"267,8",878,57,2008,2012,4,Concrete,"66,95",No
Petronas Tower 3,Kuala Lumpur,267,876,60,2008,2012,4,Concrete,"66,75",No
The River South Tower,Bangkok,258,846,74,2008,2012,4,Concrete,"64,5",No
Soleil,Brisbane,243,797,79,2008,2012,4,Concrete,"60,75",No
Soul,Gold Coast,"242,6",796,76,2008,2012,4,Concrete,"60,65",No
Zhongshan International Finance Center Tower 1,Zhongshan,220,722,55,2008,2012,4,Concrete,55,No
Zhongshan International Finance Center Tower 2,Zhongshan,220,722,55,2008,2012,4,Concrete,55,No
Unicredit Tower,Milan,"217,7",714,33,2008,2012,4,Concrete,"54,425",No
"Menara Felda, Platinum Park",Kuala Lumpur,"215,5",707,50,2008,2012,4,Concrete,"53,875",No
Latifa Tower,Dubai,210,689,45,2008,2012,4,Concrete,"52,5",No
Oasis on the Bay,Panama City,209,686,58,2008,2012,4,Concrete,"52,25",No
Oceania Business Plaza 1,Panama City,"207,3",680,53,2008,2012,4,Concrete,"51,825",No
Baiguan Plaza,Shangyu,207,679,50,2008,2012,4,Concrete,"51,75",No
Four Seasons Private Residences West Tower,Toronto,204,669,55,2008,2012,4,Concrete,51,No
Denpasar Residence Kintamani Tower,Jakarta,"203,2",667,53,2008,2012,4,Concrete,"50,8",No
Denpasar Residence Ubud Tower,Jakarta,"203,2",667,53,2008,2012,4,Concrete,"50,8",No
Al Baker Executive Tower 1,Doha,200,656,53,2008,2012,4,Concrete,50,No
Al Baker Executive Tower 2,Doha,200,656,48,2008,2012,4,Concrete,50,No
Shenzhen Kerry Centre II,Shenzhen,200,656,42,2008,2012,4,Concrete,50,No
Etihad Towers T2,Abu Dhabi,"305,3","1,002",80,2007,2011,4,Concrete,"76,325",No
Doosan Haeundae We've the Zenith Tower A,Busan,300,984,80,2007,2011,4,Concrete,75,No
JW Marriott,Panama City,284,932,70,2007,2011,4,Concrete,71,No
Doosan Haeundae We've the Zenith Tower B,Busan,"281,5",924,75,2007,2011,4,Concrete,"70,375",No
Etihad Towers T1,Abu Dhabi,"277,6",911,69,2007,2011,4,Concrete,"69,4",No
NEO Tower A,Shenzhen,273,896,56,2007,2011,4,Concrete,"68,25",No
Doosan Haeundae We've the Zenith Tower C,Busan,265,869,70,2007,2011,4,Concrete,"66,25",No
Etihad Towers T3,Abu Dhabi,"260,3",854,60,2007,2011,4,Concrete,"65,075",No
Ocean Financial Centre,Singapore,245,804,43,2007,2011,4,Concrete,"61,25",No
Pearl Tower,Panama City,"242,2",794,70,2007,2011,4,Concrete,"60,55",No
Etihad Towers T4,Abu Dhabi,234,768,66,2007,2011,4,Concrete,"58,5",No
Torre Waters,Panama City,232,761,69,2007,2011,4,Concrete,58,No
Tour First,Courbevoie,231,758,56,2007,2011,4,Concrete,"57,75",No
Q Tower,Panama City,"225,8",741,68,2007,2011,4,Concrete,"56,45",No
Etihad Towers T5,Abu Dhabi,"217,5",714,61,2007,2011,4,Concrete,"54,375",No
Riviera TwinStar Square 1,Shanghai,"215,8",708,49,2007,2011,4,Concrete,"53,95",No
Riviera TwinStar Square 2,Shanghai,"215,8",708,49,2007,2011,4,Concrete,"53,95",No
One Shenton Tower 1,Singapore,214,702,50,2007,2011,4,Concrete,"53,5",No
Grosvenor House The Residence,Dubai,"210,4",690,48,2007,2011,4,Concrete,"52,6",No
Ritz-Carlton Hotel & Residences,Toronto,"209,5",687,54,2007,2011,4,Concrete,"52,375",No
Seomyeon Central Star A,Busan,207,679,58,2007,2011,4,Concrete,"51,75",No
One Rockwell West Tower,Makati,"201,9",662,55,2007,2011,4,Concrete,"50,475",No
Blue Tower,Dubai,"317,6","1,042",72,2006,2010,4,Concrete,"79,4",No
Sky Tower,Abu Dhabi,"292,2",959,74,2006,2010,4,Concrete,"73,05",No
Sulafa Tower,Dubai,288,945,76,2006,2010,4,Concrete,72,No
Bitexco Financial Tower,Ho Chi Minh City,"262,5",861,68,2006,2010,4,Concrete,"65,625",No
Sapphire Tower,Istanbul,261,856,55,2006,2010,4,Concrete,"65,25",No
Lanko Conference & Exhibition International Plaza Yage,Chongqing,258,846,54,2006,2010,4,Concrete,"64,5",No
Hwaseong Dongtan Metapolis 101,Hwaseong,"248,7",816,66,2006,2010,4,Concrete,"62,175",No
Hwaseong Dongtan Metapolis 104,Hwaseong,"247,4",812,66,2006,2010,4,Concrete,"61,85",No
Marina Bay Financial Centre Office Tower II,Singapore,245,804,50,2006,2010,4,Concrete,"61,25",No
Sun Tower,Abu Dhabi,"237,6",779,64,2006,2010,4,Concrete,"59,4",No
Churchill Residence,Dubai,235,771,61,2006,2010,4,Concrete,"58,75",No
MAG 218 Tower,Dubai,"231,8",760,66,2006,2010,4,Concrete,"57,95",No
Ningbo International Trade Center,Ningbo,228,748,42,2006,2010,4,Concrete,57,No
Marina Bay Residences,Singapore,"227,1",745,55,2006,2010,4,Concrete,"56,775",No
Hwaseong Dongtan Metapolis 102,Hwaseong,"223,8",734,60,2006,2010,4,Concrete,"55,95",No
The Pano,Bangkok,220,722,57,2006,2010,4,Concrete,55,No
Sheraton International Business Center 2,Chongqing,218,715,42,2006,2010,4,Concrete,"54,5",No
The Orchard Residences,Singapore,"210,9",692,56,2006,2010,4,Concrete,"52,725",No
Al Rostamani Maze Tower,Dubai,210,689,57,2006,2010,4,Concrete,"52,5",No
The Troika Tower 3,Kuala Lumpur,204,669,50,2006,2010,4,Concrete,51,No
Hwaseong Dongtan Metapolis 103,Hwaseong,"203,2",667,55,2006,2010,4,Concrete,"50,8",No
MBK Tower,Dubai,200,656,59,2006,2010,4,Concrete,50,No
Trump International Hotel & Tower,Chicago,"423,2","1,389",98,2005,2009,4,Concrete,"105,8",No
Arraya Tower,Kuwait City,300,984,60,2005,2009,4,Concrete,75,No
RunHua International Building,Wuxi,248,814,55,2005,2009,4,Concrete,62,No
Neo China Top City A1,Chongqing,"242,4",795,54,2005,2009,4,Concrete,"60,6",No
The Met,Bangkok,"230,6",756,69,2005,2009,4,Concrete,"57,65",No
One Museum Park,Chicago,"221,3",726,62,2005,2009,4,Concrete,"55,325",No
Marquis,Miami,214,702,63,2005,2009,4,Concrete,"53,5",No
"The St, Francis Shangri-la Place Tower 1",Mandaluyong,"212,9",698,60,2005,2009,4,Concrete,"53,225",No
"The St, Francis Shangri-la Place Tower 2",Mandaluyong,"212,9",698,60,2005,2009,4,Concrete,"53,225",No
Executive Towers Building M,Dubai,210,689,52,2005,2009,4,Concrete,"52,5",No
Majestic Tower,Sharjah,207,679,52,2005,2009,4,Concrete,"51,75",No
One Corporate Center,Pasig,202,663,54,2005,2009,4,Concrete,"50,5",No
Shangri-La Vancouver,Vancouver,"200,9",659,59,2005,2009,4,Concrete,"50,225",No
Torre de Cristal,Madrid,249,817,50,2004,2008,4,Concrete,"62,25",No
Torre PwC,Madrid,236,774,52,2004,2008,4,Concrete,59,No
Abraj Al Bait Marwah Tower,Mecca,232,761,46,2004,2008,4,Concrete,58,No
Torre Espacio,Madrid,"224,2",735,56,2004,2008,4,Concrete,"56,05",No
The Pinnacle,Jakarta,213,699,52,2004,2008,4,Concrete,"53,25",No
Centum Star B,Busan,212,696,60,2004,2008,4,Concrete,53,No
Torre Aqualina,Panama City,210,689,61,2004,2008,4,Concrete,"52,5",No
K Residence,Kuala Lumpur,202,663,52,2004,2008,4,Concrete,"50,5",No
China International Center Tower B,Guangzhou,"269,5",884,62,2003,2007,4,Concrete,"67,375",No
Dual Towers 1,Manama,260,853,53,2003,2007,4,Concrete,65,No
Dual Towers 2,Manama,260,853,53,2003,2007,4,Concrete,65,No
Midtown Tower,Tokyo,"247,9",813,54,2003,2007,4,Steel,"61,975",No
Midland Square,Nagoya,247,810,48,2003,2007,4,Steel,"61,75",No
Pullman Shanghai Skyway Hotel,Shanghai,226,741,52,2003,2007,4,Concrete,"56,5",No
Beijing Television Center,Beijing,239,784,42,2002,2006,4,Steel,"59,75",No
Triumph Palace,Moscow,"264,1",866,61,2001,2005,4,Concrete,"66,025",No
The Arch,Hong Kong,231,758,65,2001,2005,4,Concrete,"57,75",No
Paradise by the River A,Chongqing,207,679,54,2001,2005,4,Concrete,"51,75",No
Paradise by the River B,Chongqing,207,679,54,2001,2005,4,Concrete,"51,75",No
Riparian Plaza,Brisbane,200,656,53,2001,2005,4,Concrete,50,No
Shanglong Building,Shenzhen,228,748,50,2000,2004,4,Concrete,57,No
Hangzhou Telecom Mansion,Hangzhou,248,814,41,1999,2003,4,Concrete,62,No
Mokdong Hyperion Tower B,Seoul,"239,3",785,63,1999,2003,4,Concrete,"59,825",No
Torre Mayor,Mexico City,225,738,55,1999,2003,4,Steel,"56,25",No
Raffles Square Tower,Shanghai,222,728,49,1999,2003,4,Concrete,"55,5",No
Mokdong Hyperion Tower C,Seoul,"201,2",660,54,1999,2003,4,Concrete,"50,3",No
Empire Tower,Bangkok,"226,8",744,62,1995,1999,4,Steel,"56,7",No
Shinjuku Park Tower,Tokyo,"232,6",763,52,1990,1994,4,Steel,"58,15",No
Shin Kong Life Tower,Taipei,"244,8",803,51,1989,1993,4,Steel,"61,2",No
Chifley Tower,Sydney,244,801,50,1988,1992,4,Steel,61,No
Le 1250 Boulevard Rene-Levesque,Montreal,"226,5",743,47,1988,1992,4,Concrete,"56,625",No
Rialto Towers,Melbourne,"251,1",824,63,1982,1986,4,Concrete,"62,775",No
Hopewell Centre,Hong Kong,222,728,64,1977,1981,4,Concrete,"55,5",No
Detroit Marriott at the Renaissance Center,Detroit,"221,5",727,70,1973,1977,4,Concrete,"55,375",No
Water Tower Place,Chicago,"261,9",859,74,1972,1976,4,Concrete,"65,475",No
200 Clarendon,Boston,"240,8",790,62,1972,1976,4,Steel,"60,2",No
Willis Tower,Chicago,"442,1","1,451",108,1970,1974,4,Steel,"110,525",No
875 North Michigan Avenue,Chicago,"343,7","1,128",100,1965,1969,4,Steel,"85,925",No
General Motors Building,New York City,"214,9",705,50,1964,1968,4,Steel,"53,725",No
28 Liberty,New York City,"247,8",813,60,1957,1961,4,Steel,"61,95",No
MV Lomonosov State University,Moscow,239,784,39,1949,1953,4,Steel,"59,75",No
Four Seasons Place,Kuala Lumpur,"342,5","1,124",65,2013,2018,5,Concrete,"68,5",No
Burj Vista Tower 1,Dubai,272,892,63,2013,2018,5,Concrete,"54,4",No
DAMAC Paramount Hotel & Residences,Dubai,"268,1",879,69,2013,2018,5,Concrete,"53,62",No
"DAMAC Towers by Paramount, Tower 1",Dubai,"268,1",879,69,2013,2018,5,Concrete,"53,62",No
"DAMAC Towers By Paramount, Tower 2",Dubai,"268,1",879,69,2013,2018,5,Concrete,"53,62",No
"DAMAC Towers by Paramount, Tower 3",Dubai,"268,1",879,69,2013,2018,5,Concrete,"53,62",No
Lodha Altamount,Mumbai,240,787,48,2013,2018,5,Concrete,48,No
Kuwait Investment Authority Headquarters,Kuwait City,231,758,50,2013,2018,5,Concrete,"46,2",No
Casa Domaine Tower 1,Jakarta,230,755,61,2013,2018,5,Concrete,46,No
Fortune Center Residential Tower 3,Liuzhou,210,689,60,2013,2018,5,Concrete,42,No
Casa Domaine Tower 2,Jakarta,"209,9",689,57,2013,2018,5,Concrete,"41,98",No
Burj Alshaya West Tower,Kuwait City,205,673,45,2013,2018,5,Concrete,41,No
Victoria Mansion Tower 2,Dalian,200,656,57,2013,2018,5,Concrete,40,No
Jumeirah Hangzhou Hotel,Hangzhou,200,656,43,2013,2018,5,Concrete,40,No
The Address Boulevard,Dubai,370,"1,214",73,2012,2017,5,Concrete,74,No
China Resources Center 2,Hefei,280,919,65,2012,2017,5,Concrete,56,No
Trump Tower At Century City,Makati,"250,7",822,58,2012,2017,5,Concrete,"50,14",No
The Shang Salcedo,Makati,"249,8",820,67,2012,2017,5,Concrete,"49,96",No
Setia Eco City - Vogue Suite One,Kuala Lumpur,243,797,63,2012,2017,5,Concrete,"48,6",No
Azrieli Sarona,Tel Aviv,"238,4",782,56,2012,2017,5,Concrete,"47,68",No
Shenzhen Energy Headquarters North Tower,Shenzhen,222,728,43,2012,2017,5,Steel,"44,4",No
Horoy Times Square A,Shenzhen,220,722,46,2012,2017,5,Concrete,44,No
Evolution Tower,Panama City,"217,9",715,54,2012,2017,5,Concrete,"43,58",No
Three Central,Makati,200,656,51,2012,2017,5,Concrete,40,No
MahaNakhon,Bangkok,"314,2","1,031",75,2011,2016,5,Concrete,"62,84",No
Gama Tower,Jakarta,"285,5",937,64,2011,2016,5,Concrete,"57,1",No
Shangri-La at the Fort,Taguig City,"229,3",752,63,2011,2016,5,Concrete,"45,86",No
Chongqing Rural Commercial Bank Financial Building,Chongqing,218,715,42,2011,2016,5,Concrete,"43,6",No
Park Terraces Point Tower,Makati,210,689,59,2011,2016,5,Concrete,42,No
"St, Regis Hotel & Residences",Kuala Lumpur,205,673,48,2011,2016,5,Concrete,41,No
United Tower,Manama,200,656,47,2011,2016,5,Concrete,40,No
Ilham Tower,Kuala Lumpur,274,899,58,2010,2015,5,Concrete,"54,8",No
Four Seasons Hotel,Manama,"269,7",885,50,2010,2015,5,Concrete,"53,94",No
Torre BBVA Bancomer,Mexico City,"234,9",771,50,2010,2015,5,Steel,"46,98",No
Ying Li International Plaza T1,Chongqing,"218,9",718,52,2010,2015,5,Concrete,"43,78",No
Iset Tower,Yekaterinburg,209,686,52,2010,2015,5,Concrete,"41,8",No
Vietcombank Tower,Ho Chi Minh City,206,676,40,2010,2015,5,Concrete,"41,2",No
Pabellon M,Monterrey,"205,6",674,45,2010,2015,5,Concrete,"41,12",No
Bicsa Financial Center,Panama City,267,876,66,2008,2013,5,Concrete,"53,4",No
Conrad Dubai,Dubai,"251,2",824,51,2008,2013,5,Concrete,"50,24",No
Gramercy Residences,Makati,"243,9",800,71,2008,2013,5,Concrete,"48,78",No
The Gate Residential Tower 1,Abu Dhabi,238,781,66,2008,2013,5,Concrete,"47,6",No
The Gate Residential Tower 2,Abu Dhabi,238,781,66,2008,2013,5,Concrete,"47,6",No
The Gate Residential Tower 3,Abu Dhabi,238,781,66,2008,2013,5,Concrete,"47,6",No
"St, Regis Luxury Hotel",Abu Dhabi,"233,2",765,51,2008,2013,5,Concrete,"46,64",No
Marina Bay Suites,Singapore,"226,9",744,66,2008,2013,5,Concrete,"45,38",No
ASPIN Tower,Dubai,"225,6",740,60,2008,2013,5,Concrete,"45,12",No
Century Plaza Tower 1,Liuzhou,"202,5",664,57,2008,2013,5,Concrete,"40,5",No
Elite Residence,Dubai,"380,5","1,248",87,2007,2012,5,Concrete,"76,1",No
Torre Vitri,Panama City,"280,7",921,75,2007,2012,5,Concrete,"56,14",No
"The St, Regis Toronto",Toronto,"276,9",908,63,2007,2012,5,Concrete,"55,38",No
Bucheon Kumho Richensia Tower 1,Bucheon,"240,7",790,66,2007,2012,5,Concrete,"48,14",No
Bucheon Kumho Richensia Tower 2,Bucheon,"240,7",790,66,2007,2012,5,Concrete,"48,14",No
The Bow,Calgary,"237,5",779,57,2007,2012,5,Steel,"47,5",No
Revel Resort and Casino,Atlantic City,"218,9",718,53,2007,2012,5,Concrete,"43,78",No
Shangri-La Hotel Toronto,Toronto,214,702,65,2007,2012,5,Concrete,"42,8",No
House on Mosfilmovskaya Tower A,Moscow,"213,3",700,53,2007,2012,5,Concrete,"42,66",No
Dhahran Tower,Al Khobar,200,656,46,2007,2012,5,Concrete,40,No
Eight Spruce Street,New York City,"265,2",870,76,2006,2011,5,Concrete,"53,04",No
U-Bora Tower 1,Dubai,"262,8",862,58,2006,2011,5,Concrete,"52,56",No
Vision Tower,Dubai,260,853,60,2006,2011,5,Concrete,52,No
Ten Tower,Panama City,221,725,54,2006,2011,5,Concrete,"44,2",No
Capital Plaza Residential Towers,Abu Dhabi,210,689,51,2006,2011,5,Concrete,42,No
Capital Plaza Office Tower,Abu Dhabi,200,656,40,2006,2011,5,Concrete,40,No
The Index,Dubai,326,"1,07",80,2005,2010,5,Concrete,"65,2",No
Capital City Moscow Tower,Moscow,"301,8",990,76,2005,2010,5,Concrete,"60,36",No
"Capital City St, Petersburg Tower",Moscow,"257,2",844,65,2005,2010,5,Concrete,"51,44",No
Ocean Two,Panama City,"245,7",806,73,2005,2010,5,Concrete,"49,14",No
Goldman Sachs Headquarters,New York City,"228,3",749,44,2005,2010,5,Steel,"45,66",No
Sheraton International Business Center 1,Chongqing,218,715,42,2005,2010,5,Concrete,"43,6",No
The First World Tower 1,Incheon,"236,6",776,67,2004,2009,5,Concrete,"47,32",No
The First World Tower 2,Incheon,"236,6",776,67,2004,2009,5,Concrete,"47,32",No
The First World Tower 3,Incheon,"236,6",776,67,2004,2009,5,Concrete,"47,32",No
The First World Tower 4,Incheon,"236,6",776,67,2004,2009,5,Concrete,"47,32",No
Xindi Center,Nanjing,232,761,53,2004,2009,5,Concrete,"46,4",No
Shimao International Plaza,Shanghai,"333,3","1,094",60,2001,2006,5,Concrete,"66,66",No
Eureka Tower,Melbourne,"297,3",975,91,2001,2006,5,Concrete,"59,46",No
Lanko Grand Hyatt Hotel,Chongqing,258,846,60,2000,2005,5,Concrete,"51,6",No
Harbourfront Landmark,Hong Kong,"232,6",763,69,1998,2003,5,Concrete,"46,52",No
