Year,GDPpc
1897,4601.26
1898,4791.23
1899,4921.61
1900,4870.75
1901,4930.29
1902,4958.08
1903,4859.24
1904,4876.49
1905,4990.84
1906,5064.96
1907,5115.82
1908,4888.03
1909,4955.35
1910,5067.07
1911,5179.96
1912,5245.17
1913,5441.65
1914,5485.56
1915,5722.22
1916,5782.36
1917,5746.93
1918,5858.53
1919,5422.93
1920,5058.56
1921,4528.75
1922,4737.44
1923,4848.05
1924,5033.01
1925,5192.10
1926,5005.73
1927,5365.43
1928,5380.23
1929,5515.93
1930,5436.58
1931,5154.67
1932,5130.71
1933,5274.45
1934,5573.46
1935,5753.74
1936,5998.17
1937,6175.02
1938,6195.24
1939,6434.83
1940,7012.01
1941,7665.26
1942,7762.79
1943,7815.52
1944,7439.68
1945,7066.14
1946,6894.62
1947,6756.82
1948,6906.13
1949,7098.40
1950,7301.43
1951,7615.29
1952,7715.16
1953,8117.27
1954,8438.96
1955,8732.19
1956,8832.12
1957,8956.03
1958,9032.53
1959,9349.93
1960,9854.63
1961,10026.64
1962,10040.47
1963,10463.46
1964,10965.48
1965,11122.60
1966,11231.22
1967,11474.64
1968,12045.96
1969,12224.58
1970,12521.60
1971,12895.95
1972,13384.10
1973,14215.10
1974,13858.58
1975,13648.77
1976,14045.77
1977,14391.65
1978,14989.37
1979,15522.56
1980,15170.12
1981,15034.56
1982,15359.88
1983,16004.08
1984,16342.17
1985,16982.90
1986,17479.17
1987,18381.65
1988,19409.70
1989,19862.65
1990,19954.03
1991,19668.52
1992,19672.33
1993,20104.97
1994,20813.87
1995,21249.51
1996,21711.93
1997,22305.12
1998,23031.20
1999,23753.75
2000,24402.14
2001,25021.18
2002,25549.50
2003,26341.62
2004,26777.70
2005,27284.44
2006,27669.11
2007,28236.95
2008,27766.17
2009,26453.21
2010,26774.53
2011,26914.74
2012,27206.47
2013,27544.32
2014,28256.80
2015,28692.97
2016,28982.27
